0	D-Glucose	3780064.5	811381.5	1	1
1	Glucose 6-phosphate	3780064.5	1075752.5	4	2
2	Fructose 6-phosphate	3780064.5	1340123.5	2	3
3	Fructose 1,6-bisphosphate	3780064.5	1604494.5	3	4,11
4	Glyceraldehyde 3-phosphate	3780064.5	1868866.5	3	5,11
5	1,3BPG	3780064.0	2160099.5	2	6
6	3PG	3780064.0	2397608.5	3	7,158
7	2PG	3780064.0	2661979.5	2	8
8	Phosphoenol pyruvate	3780064.5	2926350.5	2	9
9	Pyruvate	3780064.0	3190720.5	3	27,10
10	Lactate	3132023.0	3041851.5	1	
11	DHAP	2928837.0	1868865.5	3	
12	Citrate	4385578.0	3565047.5	3	14,27
13	Isocitrate	5014223.0	4167717.5	2	28
14	Oxaloacetate	3522450.5	3772661.5	3	15,68
15	D-Malate	3086432.0	4043613.5	2	16
16	Fumarate	3086431.0	4368001.5	4	17
17	Succinate	3452897.0	4696458.5	2	18
18	Succinyl-CoA	4135291.5	4835035.5	3	19
19	alpha-Ketoglutarate	4907225.5	4515020.5	4	13,56
20	6-Phospho-D-gluconate	5219314.5	1077686.5	2	21,1
21	Ribulose-5P	5219314.0	1393571.5	2	22
22	D-Ribose 5-phosphate	5219314.0	1709563.5	3	23,70
23	Sedoheptulose-7-phosphate	5219314.5	1984989.5	2	24
24	Glyceraldehyde 3-phosphate	5219314.5	2300748.5	2	25
25	Erythrose-4P	5219314.5	2642942.5	2	26
26	Fructose 6-phosphate	5219314.5	2929880.5	1	
27	Acetyl-CoA	3780064.5	3436131.5	5	148,152
28	cis-Aconitic acid	4955950.0	3797657.5	2	12
29	R 2-HG	5073753.5	4884640.5	1	19
30	Methionine	1789263.5	1975942.5	3	141,31
31	Homocysteine	1789263.0	2822639.5	3	32
32	Cystathionine	1789263.0	3065049.5	3	33,36
33	2-Oxobutyric acid	1122387.0	3065049.5	2	34
34	L-Threonine	504776.5	3065049.5	1	
35	Glycine	2536394.5	2822639.5	1	36
36	L-Serine	2536395.0	3065049.5	4	37
37	L-Cysteine	2536395.0	3299912.5	3	130,157
38	Methylmalonyl-CoA	4135291.5	5161679.5	5	18
39	L-Isoleucine	3364747.0	5574576.5	1	38
40	L-Tryptophan	599138.0	1864477.5	1	
41	L-Tyrosine	3066090.0	4984446.5	2	42,16
42	Phenylalanine	3177527.5	5236335.5	1	
43	Argininosuccinic acid	1964762.5	4206780.5	3	45,51,68
44	Ornithine	1928213.0	5426187.5	3	51
45	Citrulline	1100679.0	4624434.5	3	44
46	L-Glutamine	950879.0	5375377.5	1	47
47	Carbamoyl P	950878.5	5129351.5	2	45
48	Putrescine	1348223.0	5694114.5	2	44
49	Spermidine	1348223.5	5920532.5	3	48,50,146
50	Spermine	1348223.0	6174427.5	1	
51	Arginine	2677936.5	4783728.5	5	55,16
52	Urea	1931222.5	4970136.5	1	51
53	Creatine	2677936.0	5765960.5	2	54
